Version,id
28.8.420716001,867506752
28.9.420724004,867700263
29.0.420809001,868086581
29.1.420822001,868250345
29.2.420906001,868797993
29.2.420911003,868923069
29.2.420912009,868950505
29.3.420926002,869080577
29.3.420930001,869372376
29.3.421002001,869555618
29.4.421021007,869695666
29.5.421031002,870068876
29.6.421107001,870227854
29.7.421115001,870438688
29.8.421122001,870498678
29.9.421128001,870715312
30.0.421206002,870942844
30.0.421209001,870995580
30.1.421213002,871109863
30.2.421223001,871224298
30.2.421231001,871467150
30.3.430109002,871638709
30.4.430116008,871796854
30.5.430123001,871932054
30.5.430208004,872346484
30.6.430213001,872472189
30.7.430220004,872567236
30.8.430227001,872756711
30.9.430307002,872929894
31.0.430314001,873229121
31.0.430319002,873350858
31.1.430320001,873409189
31.2.430327001,873571440
31.2.430402003,873715583
31.3.430410002,873933089
31.3.430411001,873961129
31.4.430418001,874125355
31.5.430424001,874264566
31.5.430429001,874379615
31.6.430509001,874633408
31.7.430516001,874802960
31.8.430522001,874995537
31.8.430528002,875127755
31.9.430606001,875369587
