Version,id
14.4.0,867077597
14.4.1,868135156
14.4.2,868875463
14.5.0,869026822
14.5.1,869101054
14.5.2,869128952
14.5.3,869188835
14.5.4,869219119
14.5.5,869275268
14.5.6,869306747
14.5.7,869389065
14.5.8,869416324
14.5.9,869492360
14.6.0,869658560
14.6.1,869738219
14.6.2,869801036
14.6.3,870057642
14.6.4,870347418
14.6.5,870431792
14.6.6,870866854
14.6.7,870900578
14.6.8,871244197
14.6.9,872828392
14.7.0,873083168
14.7.1,873155222
14.7.2,873264003
14.7.3,874561471
14.7.4,875505149
14.7.5,876382442
14.7.6,876418414
14.7.7,878172405
