Version,id
6.68.0,867564475
6.69.0,867890619
6.69.5,867982856
6.70.0,868222279
6.70.6,868305255
6.70.7,868513142
6.71.0,868574600
6.71.6,868828402
6.72.1,868945973
6.73.0,869251426
6.73.1,869591174
6.74.1,869778400
6.74.2,869884428
6.75.0,870093925
6.75.5,870236970
6.75.6,870316720
6.76.0,870410497
6.76.1,870518369
6.76.5,870576716
6.77.1,870744025
6.77.5,870908591
6.78.0,871079507
6.78.1,871188999
6.78.5,871251587
6.78.6,871308688
6.79.0,871386351
6.79.5,871487419
6.80.0,871626323
6.80.5,871788132
6.81.0,871957837
6.82.0,872456651
6.82.5,872617663
6.82.6,872648458
6.82.8,872779015
6.83.0,872830237
6.83.5,873010362
6.84.0,873197384
6.84.5,873380620
6.85.0,873567551
6.85.5,873743144
6.86.0,873917535
6.86.6,874096349
6.87.1,874259306
6.87.8,874600907
6.88.1,874697662
6.88.5,874976389
6.89.2,875157843
6.89.5,875335134
6.90.0,875518569
6.90.5,875709309
6.91.0,875900095
6.91.5,876087027
6.92.0,876292303
6.92.5,876461250
6.93.0,876659059
6.93.7,876999732
6.94.0,877050611
6.94.5,877238605
6.94.7,877368582
6.95.0,877436752
6.95.6,877633998
