Version,id
2.87,867121595
2.88,867121595
2.88,868328429
2.89,868328429
2.90,868328429
2.90,869771275
2.90.1,869771275
2.91,869771275
2.91,870375667
2.91.1,870375667
2.91.2,870375667
2.91.3,870375667
2.92,870375667
2.92.1,870375667
2.93,870375667
2.93,871276880
2.93,872114895
2.94,872114895
2.94,872483993
2.94.1,872483993
2.94.2,872483993
2.95,872483993
2.95,873046234
2.95.1,873046234
2.95.2,873046234
2.95.3,873046234
2.95.4,873046234
2.96,873046234
2.96,874057545
2.96.1,874057545
2.96.2,874057545
2.96.3,874057545
2.97,874057545
2.97.1,874057545
2.97.2,874057545
2.97.3,874057545
2.97.3,875265053
2.98,875265053
2.98.1,875265053
2.98.2,875265053
2.98.2,875924164
2.98.3,875924164
2.98.4,875924164
2.99,875924164
2.99.1,875924164
2.99.2,875924164
2.99.2,876813019
2.99.3,876813019
2.99.3,876908937
2.100,877103415
2.100.1,877292716
2.100.2,877463076
2.100.3,877625354
2.100.4,877881533
2.101,878076076
2.101.1,878274168
2.101.2,878471787
2.101.3,878578017
2.102,878712786
2.102.1,878838020
2.102.2,879050301
2.102.3,879179985
2.102.4,879404130
2.103,879467730
2.103.1,879785408
2.103.2,879983869
2.103.3,880186391
2.103.4,880390413
2.104,880618804
2.104.1,880788332
2.104.2,881164860
2.105,881360436
2.105.1,881579578
2.105.2,881795482
2.105.4,882027337
2.106,882242736
2.106.1,882458728
