Version,id
7.1.1.2184,867715034
7.1.5.2196,867875638
7.1.7.2199,868070131
7.2.0.2205,868210905
7.2.1.2207,868415257
7.2.5.2215,868574096
7.2.6.2217,868719208
7.2.7.2219,868815574
7.3.0.2225,868927959
7.3.1.2226,869012906
7.3.5.2236,869266019
7.3.6.2241,869562618
7.4.0.670,869758855
7.4.1.2257,869781331
7.4.5.2265,870079731
7.4.6.2269,870233603
7.5.0.2276,870394337
7.5.1.2282,870616167
7.5.6.2294,870727337
7.6.0.2299,871060793
7.6.1.2303,871264930
7.6.5.2308,871380432
7.7.0.2318,871745356
7.7.5.2325,871970221
7.8.0.2331,872436698
7.8.2.2336,872686710
7.8.5.2343,872844341
7.8.6.2346,872883408
7.8.7.2351,872929883
7.8.8.2357,872981083
7.8.9.2363,873106947
7.9.0.2368,873176830
7.9.1.2377,873289040
7.9.2.2383,873390497
7.9.5.2393,873605591
7.9.6.2398,873671283
7.9.7.2400,873723436
7.9.8.2401,873751075
7.10.0.2406,873927767
7.10.5.2415,874109752
7.11.0.2424,874241891
7.11.2.2440,874361889
7.11.4.2441,874415725
7.11.5.2445,874644865
7.11.6.2451,874828213
7.12.0.2460,874993427
7.12.2.2464,875144948
7.12.5.2469,875172387
7.12.6.2472,875192412
7.12.7.2474,875285063
7.12.8.2477,875352641
7.13.0.2481,875495482
7.13.1.2486,875620006
7.13.2.2490,875725825
7.13.5.2496,876037957
7.13.6.2501,876108392
7.14.0.2506,876255965
7.14.1.2509,876293095
